rank,team,tooltip_team,obpr,dbpr,bpr,opponent_adjust,pace_adjust,off_rank,def_rank,tempo,tempo_rank,rank_inj,home_rank,roster_rank,runs_per_game,runs_conceded_per_game,runs_margin,runs_total,runs_conceded_total,wins,losses,color_O,color_D,color_Diff,color_str_Diff,color_tempo_Diff,tooltip_str_Diff,tooltip_tempo_Diff
101,Illinois-Chicago,Illinois-Chicago 🔥,0.900689149634951,4.57277526038917,5.47346441002412,19.0331404253429,5.82185988180195,153,67,67.94155175,226,100,267,125,0.5625,0.3125,0.25,18,10,17,15,#FFFAF5,#FFE8CD,#FFF1E1,#FFB3A8,#F0DFB5,Illinois-Chicago plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Illinois-Chicago performs at a similar level regardless of the pace of the game.
102,UC Irvine,UC Irvine 👠,-4.19265458828193,9.33668014249867,5.14402555421674,-0.163127991303287,16.6250033691242,260,24,69.85706405,106,102,231,137,0.5,0.233333333333333,0.266666666666667,15,7,20,10,#D4E4F2,#FFD199,#FFF2E3,#FEFEDF,#F2D1A8,UC Irvine performs at a similar level against both good and bad teams.,UC Irvine performs at a similar level regardless of the pace of the game.
103,Pittsburgh,Pittsburgh 🤕,1.80249488728207,3.20004546857166,5.00254035585373,-84.0129398577176,20.0698577763543,131,99,65.1339739,350,103,334,80,0.59375,0.59375,0,19,19,13,19,#FFF6EC,#FFEFDC,#FFF3E4,#00429D,#F3CDA4,Pittsburgh plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,Pittsburgh performs at a similar level regardless of the pace of the game.
104,St. Thomas (MN),St. Thomas (MN),4.74466786565371,0.173518508996137,4.91818637464985,-9.83928031608262,-12.0577248796629,84,165,69.416409,131,104,210,121,0.733333333333333,0.233333333333333,0.5,22,7,21,9,#FFE9CE,#FFFEFD,#FFF3E4,#D1E6DA,#D6DABE,St. Thomas (MN) performs at a similar level against both good and bad teams.,St. Thomas (MN) performs at a similar level regardless of the pace of the game.
105,Maryland,Maryland 🤕,2.67744435124675,2.1772600641599,4.85470441540665,-49.3894119192999,-9.00709606315604,119,118,67.7212932,236,118,125,90,0.34375,0.75,-0.40625,11,24,12,20,#FFF3E3,#FFF4E7,#FFF3E4,#4B79B5,#DCDDBD,Maryland plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,Maryland performs at a similar level regardless of the pace of the game.
106,UAB,UAB 🤕,1.20928251624969,3.42290620403463,4.63218872028431,6.28251758102941,-14.0096502967418,141,90,70.39046545,73,113,359,115,0.5,0.3,0.2,15,9,19,11,#FFF9F2,#FFEED9,#FFF3E6,#FFE6CD,#D2D8BE,UAB performs at a similar level against both good and bad teams.,UAB performs at a similar level regardless of the pace of the game.
107,USC,USC 🥶🤕,1.00286461614345,3.61639718040176,4.61926179654521,-55.1647050727904,-2.43792665543678,150,85,70.930168,50,105,316,68,0.433333333333333,0.466666666666667,-0.0333333333333333,13,14,17,13,#FFFAF4,#FFEDD7,#FFF4E6,#3669AE,#EAE4BC,USC plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,USC performs at a similar level regardless of the pace of the game.
108,Liberty,Liberty 👠,6.95624830650849,-2.36476309278645,4.59148521372205,-19.9866108136825,-12.9397635588976,61,227,65.6123261,341,106,312,95,0.642857142857143,0.5,0.142857142857143,18,14,22,6,#FFDFB8,#E3EEF7,#FFF4E6,#A2CCD3,#D5D9BE,Liberty plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Liberty performs at a similar level regardless of the pace of the game.
109,Troy,Troy 👠,2.65683255347486,1.86976478708452,4.52659734055938,66.3610220181952,6.93446403034056,120,127,66.85507365,286,114,114,131,0.516129032258065,0.32258064516129,0.193548387096774,16,10,20,11,#FFF3E4,#FFF5EA,#FFF4E6,#99063D,#F0DEB3,Troy plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,Troy performs at a similar level regardless of the pace of the game.
110,Saint Joseph's,Saint Joseph's 📈,-1.18959111498608,5.70996151453742,4.52037039955135,22.9499258483042,-15.7262582749351,194,55,69.16209765,151,107,222,106,0.448275862068966,0.448275862068966,0,13,13,19,10,#F3F7FB,#FFE3C0,#FFF4E6,#FEA49D,#CFD6BE,Saint Joseph's plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Saint Joseph's performs at a similar level regardless of the pace of the game.
