current_team,logo
Old Dominion,http://a.espncdn.com/i/teamlogos/ncaa/500/295.png
Oral Roberts,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/198.png&h=200&w=200
Oregon,http://a.espncdn.com/i/teamlogos/ncaa/500/2483.png
Oregon St.,http://a.espncdn.com/i/teamlogos/ncaa/500/204.png
Pacific,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/279.png&h=200&w=200
Penn,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/219.png&h=200&w=200
Penn St.,http://a.espncdn.com/i/teamlogos/ncaa/500/213.png
Pepperdine,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2492.png&h=200&w=200
Pittsburgh,http://a.espncdn.com/i/teamlogos/ncaa/500/221.png
Portland,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2501.png&h=200&w=200
Portland St.,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2502.png&h=200&w=200
Prairie View A&M,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2504.png&h=200&w=200
Presbyterian,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2506.png&h=200&w=200
Princeton,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/163.png&h=200&w=200
Providence,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2507.png&h=200&w=200
Purdue,http://a.espncdn.com/i/teamlogos/ncaa/500/2509.png
Purdue Fort Wayne,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2870.png&h=200&w=200
Queens,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2511.png&h=200&w=200
Quinnipiac,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/27.png&h=200&w=200
Radford,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2515.png&h=200&w=200
Rhode Island,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/227.png&h=200&w=200
Rice,http://a.espncdn.com/i/teamlogos/ncaa/500/242.png
Richmond,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/257.png&h=200&w=200
Rider,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2520.png&h=200&w=200
Robert Morris,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2523.png&h=200&w=200
Rutgers,http://a.espncdn.com/i/teamlogos/ncaa/500/164.png
Sacramento St.,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/16.png&h=200&w=200
Sacred Heart,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2529.png&h=200&w=200
